team,trainer_name,nationalitaet,sprache
EHF Passau Black Hawks,Daniel Reja,Kanada,Englisch
SC Riessersee,Leif Carlsson,Schweden,Englisch
Höchstadt Alligators,Morgan Persson,Schweden,Englisch
EC Peiting,Landon Gare,Kanada,Deutsch
Hockey Club Tigers 1985,Maer Eerme,Estland,Englisch
EV Füssen,Daniel Jun,Deutschland,Deutsch
Tölzer Löwen,Axel Kammerer,Deutschland,Deutsch
Erding Gladiators,John Sicinski,Kanada,Deutsch
ESV Kaufbeuren,Sebastian Buchwieser,Deutschland,Deutsch
Deggendorfer SC,Casey Fratkin,Kanada,Deutsch
EV Lindau Islanders,Marko Sakic,Deutschland,Deutsch
Selber Wölfe,Josef Huber,Detuschland,Deutsch
Stuttgart Rebels,Tom Coolen,USA,Englisch
Heilbronner EC Falken,,,
